Year,Scenario,OperatingShare
2010,Actual,0.854488941726743
2010,Budgeted,0.8538943922354215
2011,Actual,0.8521268094694263
2011,Budgeted,0.8493257787031993
2012,Actual,0.8532001004578205
2012,Budgeted,0.8542280444551335
2013,Actual,0.8467796310887349
2013,Budgeted,0.8516866561012459
2014,Actual,0.8503028408312886
2014,Budgeted,0.8502833503680793
2015,Actual,0.8366006566020048
2015,Budgeted,0.8387694785319337
2016,Actual,0.8345181828434338
2016,Budgeted,0.8338878687414959
2017,Actual,0.8251015876002701
2017,Budgeted,0.8259086414697695
2018,Actual,0.8140611040482543
2018,Budgeted,0.8153359890581755
2019,Actual,0.8061428516890611
2019,Budgeted,0.8108120375839705
2020,Actual,0.7805539272182556
2020,Budgeted,0.8018343210965608
2021,Actual,0.8225853313375963
2021,Budgeted,0.8230800987033144
2022,Actual,0.758968243080799
2022,Budgeted,0.798472214164843
2023,Actual,0.6698545723637711
2023,Budgeted,0.7829086217691431
2024,Actual,0.7532439696195509
2024,Budgeted,0.7796213134089004
2025,Budgeted,0.7823367086553848
2026,Budgeted,0.7742995377736631
